text,true_label_name,predicted_label_name
How do I locate my card?,card_arrival,card_not_working
I ordered a card but it has not arrived. Help please!,card_arrival,transfer_not_received_by_recipient
When will I get my card?,card_arrival,card_delivery_estimate
How long does a card delivery take?,card_arrival,card_delivery_estimate
How do I know when my card will arrive?,card_arrival,card_delivery_estimate
I'm still waiting on my card to be delivered.,card_arrival,card_delivery_estimate
"I'm starting to think my card is lost because it still hasn't arrived, can you help?",card_arrival,lost_or_stolen_card
Can I link another card to my account?,card_linking,getting_spare_card
Is it a good time to exchange?,exchange_rate,exchange_via_app
when does the rate get determined,exchange_rate,wrong_exchange_rate_for_cash_withdrawal
Why am I being charged more ?,card_payment_wrong_exchange_rate,card_payment_fee_charged
the conversion value for my card payments is incorrect.,card_payment_wrong_exchange_rate,card_payment_fee_charged
There is a fee I don't recognize on my statement.,extra_charge_on_statement,card_payment_not_recognised
When will the $1 transaction be credited to me?,extra_charge_on_statement,transfer_not_received_by_recipient
Where did this fee come from?,extra_charge_on_statement,verify_source_of_funds
Where did this 1 euro fee come from?,extra_charge_on_statement,verify_source_of_funds
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,reverted_card_payment?
What is the €1 fee for?,extra_charge_on_statement,transfer_fee_charged
I made a withdrawal from my account but it has not posted?,pending_cash_withdrawal,cash_withdrawal_not_recognised
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,cash_withdrawal_charge
how long does it take to post atm with drawl,pending_cash_withdrawal,transfer_timing
Do you support any currency?,fiat_currency_support,supported_cards_and_currencies
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_card_payment
Do you offer additional currency options?,fiat_currency_support,exchange_charge
How do I change currencies to euros?,fiat_currency_support,exchange_via_app
Am I able to exchange currencies?,fiat_currency_support,exchange_via_app
Which country's currency do you support?,fiat_currency_support,supported_cards_and_currencies
I want to make a currency exchange to EU.,fiat_currency_support,exchange_charge
Can I exchange currencies?,fiat_currency_support,exchange_via_app
What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support
my card was not in the mail again can you advise?,card_delivery_estimate,card_arrival
"Ordered awhile back, what is the ETA in the US?",card_delivery_estimate,country_support
When are cards delivered?,card_delivery_estimate,order_physical_card
Can I get my card expedited?,card_delivery_estimate,card_not_working
How do I make sure I don't run out of money on my card while traveling?,automatic_top_up,card_payment_not_recognised
What's the limit on automatic top-up?,automatic_top_up,top_up_limits
Can I space out how often money is transferred along my travels?,automatic_top_up,balance_not_updated_after_bank_transfer
Can I be topped up once I hit a certain balance?,automatic_top_up,topping_up_by_card
I've tried my card a bunch of times and it never worked.,card_not_working,declined_card_payment
Can you please identify the problem with my bank card?,card_not_working,transfer_into_account
How do I unblock my card using the app?,card_not_working,pin_blocked
My card was declined today when eating and I need to know what's wrong.,card_not_working,declined_card_payment
